age,height,weight,size,sex
9.0,56.0,105.0,1,Female
9.0,16.0,90.0,1,Female
27.0,88.0,375.0,7,Male
83.0,64.0,120.0,5,Female
82.0,112.0,45.0,7,Male
205.0,120.0,105.0,5,
28.0,88.0,75.0,7,Male
32.0,24.0,105.0,3,Female
46.0,24.0,345.0,3,Male
8.0,16.0,0.0,2,Male
133.0,64.0,60.0,5,Female
5.0,88.0,15.0,7,Female
46.0,56.0,165.0,3,Male
90.0,136.0,255.0,4,Male
32.0,,75.0,3,Female
59.0,72.0,30.0,4,Female
75.0,48.0,45.0,2,Male
58.0,88.0,45.0,3,Female
3.0,8.0,30.0,4,Male
6.0,128.0,210.0,3,Female
49.0,32.0,120.0,7,Male
71.0,8.0,165.0,3,Female
71.0,72.0,150.0,3,
46.0,24.0,75.0,3,Male
59.0,24.0,0.0,3,Male
27.0,64.0,75.0,7,Male
97.0,8.0,240.0,4,Female
15.0,8.0,90.0,4,Female
33.0,,225.0,3,Female
13.0,64.0,210.0,5,Male
73.0,112.0,405.0,7,Male
71.0,0.0,270.0,5,Male
143.0,96.0,60.0,5,Male
49.0,112.0,60.0,7,Female
82.0,0.0,300.0,7,Male
3.0,24.0,135.0,4,Female
15.0,40.0,15.0,4,Female
58.0,24.0,60.0,3,Female
17.0,0.0,120.0,7,Female
19.0,8.0,0.0,3,Male
28.0,24.0,105.0,7,Male
23.0,96.0,15.0,5,Male
15.0,104.0,45.0,4,Male
6.0,24.0,165.0,3,Female
19.0,80.0,195.0,2,Male
59.0,16.0,0.0,2,Female
79.0,88.0,60.0,1,Male
46.0,224.0,0.0,3,Female
16.0,24.0,90.0,7,Male
62.0,48.0,45.0,2,Female
128.0,24.0,60.0,7,Male
82.0,112.0,0.0,7,Male
49.0,88.0,45.0,7,Female
62.0,216.0,330.0,2,Male
124.0,128.0,165.0,3,Male
75.0,48.0,30.0,2,Male
163.0,56.0,45.0,3,Female
136.0,72.0,150.0,3,Female
38.0,64.0,120.0,7,Female
65.0,168.0,90.0,4,Female
149.0,144.0,75.0,7,Female
1.0,120.0,270.0,5,Male
47.0,0.0,120.0,5,Male
65.0,16.0,135.0,1,Female
20.0,104.0,0.0,3,Female
75.0,80.0,255.0,2,Male
82.0,120.0,15.0,7,Female
82.0,112.0,105.0,7,
71.0,0.0,60.0,7,Male
35.0,48.0,105.0,2,Male
45.0,80.0,150.0,2,Female
65.0,104.0,90.0,4,Male
107.0,32.0,45.0,5,Male
8.0,16.0,0.0,2,Female
6.0,104.0,75.0,3,Male
19.0,24.0,135.0,3,Male
82.0,112.0,90.0,7,Female
22.0,8.0,285.0,3,Female
15.0,104.0,180.0,4,Male
83.0,32.0,15.0,5,Female
85.0,72.0,0.0,3,Female
51.0,56.0,60.0,1,Female
32.0,48.0,75.0,2,Female
47.0,0.0,180.0,5,Female
83.0,32.0,75.0,5,Female
25.0,96.0,120.0,5,Female
10.0,8.0,135.0,4,Female
189.0,24.0,0.0,3,Female
139.0,88.0,105.0,7,Female
107.0,88.0,60.0,1,Female
35.0,64.0,120.0,5,Male
82.0,88.0,30.0,7,Male
15.0,72.0,45.0,4,Male
71.0,168.0,165.0,3,Male
37.0,128.0,90.0,1,Female
19.0,104.0,120.0,3,Male
163.0,56.0,45.0,3,Female
62.0,88.0,60.0,7,Male
109.0,32.0,150.0,5,Female
62.0,88.0,60.0,1,Male
51.0,32.0,60.0,7,Male
149.0,160.0,240.0,3,Female
164.0,56.0,180.0,4,Female
45.0,128.0,0.0,3,Male
51.0,64.0,15.0,7,Female
20.0,40.0,30.0,3,Male
181.0,64.0,75.0,5,Male
6.0,24.0,345.0,3,Female
5.0,24.0,90.0,7,Male
23.0,96.0,15.0,5,Male
52.0,176.0,210.0,4,Female
51.0,56.0,135.0,1,Male
102.0,80.0,150.0,2,Female
97.0,40.0,180.0,4,Female
95.0,120.0,60.0,5,Male
75.0,184.0,435.0,2,Male
49.0,112.0,120.0,7,Female
9.0,56.0,210.0,1,Male
196.0,48.0,75.0,2,Male
35.0,96.0,75.0,5,Female
16.0,32.0,105.0,7,Female
97.0,24.0,165.0,3,Female
136.0,104.0,75.0,3,Male
62.0,16.0,75.0,2,Female
22.0,96.0,90.0,5,Female
16.0,64.0,75.0,7,Female
59.0,32.0,60.0,5,Male
19.0,40.0,0.0,3,Female
15.0,72.0,45.0,4,Male
65.0,40.0,,4,Female
93.0,16.0,135.0,1,Male
32.0,80.0,45.0,2,Male
72.0,48.0,150.0,2,Female
32.0,80.0,45.0,2,Male
19.0,104.0,120.0,3,Female
22.0,56.0,90.0,4,Male
45.0,40.0,60.0,3,Female
115.0,72.0,210.0,4,Female
3.0,8.0,240.0,4,Female
37.0,56.0,15.0,1,Male
49.0,64.0,30.0,7,Female
98.0,56.0,75.0,3,Male
7.0,56.0,225.0,3,Female
138.0,208.0,180.0,7,Male
71.0,56.0,105.0,3,Male
45.0,16.0,105.0,2,Male
9.0,16.0,135.0,1,Male
